 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      29.000 -2.3915464E-01 -2.2359975E-01 -2.3839885E-01 -2.2289312E-01
      29.200 -2.3380424E-01 -2.1851082E-01 -2.3277002E-01 -2.1754425E-01
      29.400 -2.2841820E-01 -2.1339332E-01 -2.2702776E-01 -2.1209434E-01
      29.600 -2.2293677E-01 -2.0819144E-01 -2.2115977E-01 -2.0653197E-01
      29.800 -2.1729345E-01 -2.0284319E-01 -2.1515499E-01 -2.0084694E-01
      30.000 -2.1142630E-01 -1.9729092E-01 -2.0900380E-01 -1.9503038E-01
      30.200 -2.0528803E-01 -1.9149069E-01 -2.0269782E-01 -1.8907457E-01
      30.400 -1.9885359E-01 -1.8541941E-01 -1.9623019E-01 -1.8297324E-01
      30.600 -1.9212357E-01 -1.7907786E-01 -1.8959595E-01 -1.7672187E-01
      30.800 -1.8512250E-01 -1.7248916E-01 -1.8279221E-01 -1.7031790E-01
      31.000 -1.7789332E-01 -1.6569351E-01 -1.7581882E-01 -1.6376128E-01
      31.200 -1.7048830E-01 -1.5873974E-01 -1.6867845E-01 -1.5705460E-01
      31.400 -1.6295921E-01 -1.5167611E-01 -1.6137685E-01 -1.5020331E-01
      31.600 -1.5534828E-01 -1.4454197E-01 -1.5392301E-01 -1.4321585E-01
      31.800 -1.4768157E-01 -1.3736155E-01 -1.4632863E-01 -1.3610316E-01
      32.000 -1.3996670E-01 -1.3014190E-01 -1.3860802E-01 -1.2887858E-01
      32.200 -1.3219433E-01 -1.2287427E-01 -1.3077730E-01 -1.2155714E-01
      32.400 -1.2434367E-01 -1.1553931E-01 -1.2285396E-01 -1.1415507E-01
      32.600 -1.1639056E-01 -1.0811453E-01 -1.1485636E-01 -1.0668943E-01
      32.800 -1.0831581E-01 -1.0058211E-01 -1.0680310E-01 -9.9177407E-02
      33.000 -1.0011316E-01 -9.2936228E-02 -9.8713024E-02 -9.1636464E-02
