 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      58.000  2.5198363E-01  2.3669787E-01  2.4857083E-01  2.3349209E-01
      58.200  2.5075047E-01  2.3562593E-01  2.4813312E-01  2.3316645E-01
      58.400  2.4897217E-01  2.3404085E-01  2.4727030E-01  2.3244105E-01
      58.600  2.4692611E-01  2.3220289E-01  2.4598650E-01  2.3131930E-01
      58.800  2.4483900E-01  2.3032500E-01  2.4428905E-01  2.2980766E-01
      59.000  2.4282150E-01  2.2851129E-01  2.4218871E-01  2.2791579E-01
      59.200  2.4083984E-01  2.2672999E-01  2.3969951E-01  2.2565646E-01
      59.400  2.3873189E-01  2.2482843E-01  2.3683802E-01  2.2304486E-01
      59.600  2.3626255E-01  2.2258499E-01  2.3362258E-01  2.2009785E-01
      59.800  2.3320084E-01  2.1978157E-01  2.3007231E-01  2.1683306E-01
      60.000  2.2939517E-01  2.1627461E-01  2.2620635E-01  2.1326817E-01
      60.200  2.2482404E-01  2.1204306E-01  2.2204335E-01  2.0942044E-01
      60.400  2.1960686E-01  2.0719876E-01  2.1760104E-01  2.0530627E-01
      60.600  2.1397237E-01  2.0195691E-01  2.1289630E-01  2.0094127E-01
      60.800  2.0819398E-01  1.9657523E-01  2.0794500E-01  1.9634014E-01
      61.000  2.0251247E-01  1.9128098E-01  2.0276229E-01  1.9151695E-01
      61.200  1.9706857E-01  1.8620724E-01  1.9736255E-01  1.8648502E-01
      61.400  1.9186617E-01  1.8135791E-01  1.9175952E-01  1.8125710E-01
      61.600  1.8677663E-01  1.7661161E-01  1.8596638E-01  1.7584545E-01
      61.800  1.8158219E-01  1.7176246E-01  1.7999566E-01  1.7026172E-01
      62.000  1.7604583E-01  1.6658606E-01  1.7385954E-01  1.6451725E-01
      62.200  1.6998560E-01  1.6090984E-01  1.6756982E-01  1.5862305E-01
      62.400  1.6333196E-01  1.5466741E-01  1.6113822E-01  1.5259005E-01
      62.600  1.5615092E-01  1.4792069E-01  1.5457672E-01  1.4642946E-01
      62.800  1.4862625E-01  1.4084329E-01  1.4789755E-01  1.4015276E-01
      63.000  1.4100728E-01  1.3367124E-01  1.4111350E-01  1.3377194E-01
      63.200  1.3353738E-01  1.2663525E-01  1.3423762E-01  1.2729930E-01
      63.400  1.2638565E-01  1.1989590E-01  1.2728321E-01  1.2074736E-01
      63.600  1.1960104E-01  1.1349997E-01  1.2026317E-01  1.1412832E-01
      63.800  1.1310320E-01  1.0737158E-01  1.1318964E-01  1.0745364E-01
