 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
   35.000035 -7.9799097E-03 -7.3872327E-03 -2.5845413E-02 -2.3925845E-02
   35.200036 -5.9209077E-04 -5.4798159E-04 -1.9740167E-02 -1.8269578E-02
   35.400036  6.1035558E-03  5.6475141E-03 -1.3937956E-02 -1.2896548E-02
   35.600036  1.2104466E-02  1.1197463E-02 -8.4703701E-03 -7.8356747E-03
   35.800037  1.7421665E-02  1.6112621E-02 -3.3679848E-03 -3.1149183E-03
   36.000037  2.2077591E-02  2.0414261E-02  1.3399781E-03  1.2390239E-03
   36.200038  2.6103810E-02  2.4132055E-02  5.6262079E-03  5.2012315E-03
   36.400038  2.9538137E-02  2.7301401E-02  9.4654755E-03  8.7487151E-03
   36.600038  3.2421991E-02  2.9960977E-02  1.2835116E-02  1.1860858E-02
   36.800039  3.4797549E-02  3.2150109E-02  1.5715248E-02  1.4519612E-02
   37.000039  3.6705090E-02  3.3906320E-02  1.8088988E-02  1.6709699E-02
   37.200040  3.8180702E-02  3.5263219E-02  1.9942763E-02  1.8418886E-02
   37.400040  3.9254188E-02  3.6248566E-02  2.1266382E-02  1.9638053E-02
   37.600040  3.9947532E-02  3.6882870E-02  2.2053235E-02  2.0361373E-02
   37.800041  4.0273784E-02  3.7178366E-02  2.2300338E-02  2.0586347E-02
   38.000041  4.0236512E-02  3.7138507E-02  2.2008385E-02  2.0313853E-02
   38.200042  3.9829796E-02  3.6757982E-02  2.1181757E-02  1.9548145E-02
   38.400042  3.9038771E-02  3.6023208E-02  1.9828497E-02  1.8296839E-02
   38.600042  3.7840661E-02  3.4913297E-02  1.7960231E-02  1.6570822E-02
   38.800043  3.6206282E-02  3.3401441E-02  1.5592060E-02  1.4384169E-02
   39.000043  3.4101968E-02  3.1456696E-02  1.2742494E-02  1.1754065E-02
   39.200044  3.1491701E-02  2.9045938E-02  9.4332050E-03  8.7005873E-03
   39.400044  2.8339599E-02  2.6136168E-02  5.6889702E-03  5.2466472E-03
   39.600044  2.4612334E-02  2.2696724E-02  1.5373701E-03  1.4177146E-03
   39.800045  2.0281646E-02  1.8701612E-02 -2.9913814E-03 -2.7583389E-03
   40.000045  1.5326810E-02  1.4131764E-02 -7.8645838E-03 -7.2513746E-03
   40.200046  9.7366320E-03  8.9768794E-03 -1.3047451E-02 -1.2029354E-02
   40.400046  3.5115075E-03  3.2373195E-03 -1.8503164E-02 -1.7058388E-02
   40.600047 -3.3353356E-03 -3.0747523E-03 -2.4193338E-02 -2.2303160E-02
   40.800047 -1.0776573E-02 -9.9342065E-03 -3.0078066E-02 -2.7726972E-02
   41.000047 -1.8770496E-02 -1.7302685E-02 -3.6116393E-02 -3.3292171E-02
   41.200048 -2.7260932E-02 -2.5128522E-02 -4.2266508E-02 -3.8960329E-02
   41.400048 -3.6177632E-02 -3.3347108E-02 -4.8485929E-02 -4.4692409E-02
   41.600049 -4.5437625E-02 -4.1882128E-02 -5.4732007E-02 -5.0449224E-02
   41.800049 -5.4946395E-02 -5.0646644E-02 -6.0961961E-02 -5.6191470E-02
   42.000049 -6.4600151E-02 -5.9545180E-02 -6.7133383E-02 -6.1880186E-02
   42.200050 -7.4288005E-02 -6.8475726E-02 -7.3204423E-02 -6.7476924E-02
   42.400050 -8.3894418E-02 -7.7331981E-02 -7.9133982E-02 -7.2943919E-02
   42.600051 -9.3302308E-02 -8.6006211E-02 -8.4882191E-02 -7.8244534E-02
   42.800051 -1.0239553E-01 -9.4391528E-02 -9.0410442E-02 -8.3343281E-02
   43.000051 -1.1106207E-01 -1.0238481E-01 -9.5681842E-02 -8.8206242E-02
   43.200052 -1.1919659E-01 -1.0988909E-01 -1.0066136E-01 -9.2801196E-02
   43.400052 -1.2670288E-01 -1.1681575E-01 -1.0531599E-01 -9.7097767E-02
   43.600053 -1.3349636E-01 -1.2308685E-01 -1.0961511E-01 -1.0106776E-01
   43.800053 -1.3950565E-01 -1.2863658E-01 -1.1353047E-01 -1.0468516E-01
   44.000053 -1.4467422E-01 -1.3341277E-01 -1.1703655E-01 -1.0792642E-01
   44.200054 -1.4896127E-01 -1.3737772E-01 -1.2011057E-01 -1.1077051E-01
   44.400054 -1.5234217E-01 -1.4050857E-01 -1.2273258E-01 -1.1319898E-01
