 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      37.000  6.1430097E-02  5.6429010E-02  5.4698451E-02  5.0245394E-02
      37.200  6.4522705E-02  5.9259654E-02  5.7334545E-02  5.2657825E-02
      37.400  6.6732094E-02  6.1278742E-02  5.9278488E-02  5.4434246E-02
      37.600  6.8037835E-02  6.2467968E-02  6.0511098E-02  5.5557401E-02
      37.800  6.8449908E-02  6.2836911E-02  6.1018226E-02  5.6014638E-02
      38.000  6.8004098E-02  6.2418798E-02  6.0791012E-02  5.5798136E-02
      38.200  6.6753974E-02  6.1263117E-02  5.9825997E-02  5.4905002E-02
      38.400  6.4760876E-02  5.9426432E-02  5.8125090E-02  5.3337245E-02
      38.600  6.2083606E-02  5.6962911E-02  5.5695395E-02  5.1101603E-02
      38.800  5.8769612E-02  5.3916253E-02  5.2548991E-02  4.8209348E-02
      39.000  5.4849163E-02  5.0314351E-02  4.8702750E-02  4.4676110E-02
      39.200  5.0333169E-02  4.6167301E-02  4.4178006E-02  4.0521576E-02
      39.400  4.5215373E-02  4.1469429E-02  3.9000565E-02  3.5769497E-02
      39.600  3.9477909E-02  3.6204384E-02  3.3200512E-02  3.0447511E-02
      39.800  3.3099676E-02  3.0352833E-02  2.6812328E-02  2.4587252E-02
      40.000  2.6065960E-02  2.3901274E-02  1.9875157E-02  1.8224595E-02
      40.200  1.8377271E-02  1.6850142E-02  1.2432792E-02  1.1399643E-02
      40.400  1.0056774E-02  9.2206140E-03  4.5341660E-03  4.1571777E-03
      40.600  1.1540574E-03  1.0580607E-03 -3.7667987E-03 -3.4534691E-03
      40.800 -8.2541265E-03 -7.5672775E-03 -1.2410861E-02 -1.1378118E-02
      41.000 -1.8067421E-02 -1.6563552E-02 -2.1333935E-02 -1.9558172E-02
      41.200 -2.8168047E-02 -2.5822969E-02 -3.0467415E-02 -2.7930908E-02
      41.400 -3.8428932E-02 -3.5229239E-02 -3.9738745E-02 -3.6429993E-02
      41.600 -4.8723007E-02 -4.4666085E-02 -4.9072725E-02 -4.4986684E-02
      41.800 -5.8931005E-02 -5.4024390E-02 -5.8392372E-02 -5.3530605E-02
      42.000 -6.8948143E-02 -6.3208309E-02 -6.7620656E-02 -6.1991334E-02
      42.200 -7.8687607E-02 -7.2138455E-02 -7.6681860E-02 -7.0299647E-02
      42.400 -8.8081093E-02 -8.0752397E-02 -8.5502962E-02 -7.8388777E-02
      42.600 -9.7077129E-02 -8.9003112E-02 -9.4015368E-02 -8.6196000E-02
      42.800 -1.0563665E-01 -9.6854932E-02 -1.0215579E-01 -9.3663439E-02
      43.000 -1.1372828E-01 -1.0427920E-01 -1.0986755E-01 -1.0073923E-01
      43.200 -1.2132317E-01 -1.1124957E-01 -1.1710106E-01 -1.0737803E-01
      43.400 -1.2839103E-01 -1.1773834E-01 -1.2381413E-01 -1.1354119E-01
      43.600 -1.3489829E-01 -1.2371476E-01 -1.2997218E-01 -1.1919704E-01
      43.800 -1.4080787E-01 -1.2914484E-01 -1.3554774E-01 -1.2432040E-01
      44.000 -1.4608150E-01 -1.3399345E-01 -1.4052016E-01 -1.2889231E-01
      44.200 -1.5068316E-01 -1.3822752E-01 -1.4487484E-01 -1.3289931E-01
      44.400 -1.5458332E-01 -1.4181983E-01 -1.4860247E-01 -1.3633280E-01
      44.600 -1.5776306E-01 -1.4475291E-01 -1.5169843E-01 -1.3918841E-01
      44.800 -1.6021683E-01 -1.4702151E-01 -1.5416193E-01 -1.4146529E-01
      45.000 -1.6195366E-01 -1.4863371E-01 -1.5599561E-01 -1.4316568E-01
      45.200 -1.6299614E-01 -1.4961004E-01 -1.5720495E-01 -1.4429445E-01
      45.400 -1.6337747E-01 -1.4998072E-01 -1.5779804E-01 -1.4485880E-01
      45.600 -1.6313708E-01 -1.4978171E-01 -1.5778537E-01 -1.4486812E-01
      45.800 -1.6231544E-01 -1.4904991E-01 -1.5717973E-01 -1.4433392E-01
      46.000 -1.6094921E-01 -1.4781872E-01 -1.5599617E-01 -1.4326975E-01
      46.200 -1.5906738E-01 -1.4611448E-01 -1.5425197E-01 -1.4169120E-01
      46.400 -1.5668928E-01 -1.4395470E-01 -1.5196659E-01 -1.3961584E-01
      46.600 -1.5382467E-01 -1.4134804E-01 -1.4916146E-01 -1.3706307E-01
      46.800 -1.5047600E-01 -1.3829646E-01 -1.4585990E-01 -1.3405398E-01
      47.000 -1.4664227E-01 -1.3479872E-01 -1.4208662E-01 -1.3061101E-01
      47.200 -1.4232382E-01 -1.3085479E-01 -1.3786743E-01 -1.2675751E-01
      47.400 -1.3752720E-01 -1.2647037E-01 -1.3322873E-01 -1.2251748E-01
      47.600 -1.3226884E-01 -1.2166018E-01 -1.2819690E-01 -1.1791483E-01
      47.800 -1.2657728E-01 -1.1645014E-01 -1.2279785E-01 -1.1297310E-01
      48.000 -1.2049285E-01 -1.1087700E-01 -1.1705638E-01 -1.0771477E-01
      48.200 -1.1406543E-01 -1.0498631E-01 -1.1099583E-01 -1.0216103E-01
