 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      49.600 -4.0866507E-02 -3.7867418E-02 -3.8108477E-02 -3.5311793E-02
      49.800 -3.1875641E-02 -2.9543904E-02 -2.9248176E-02 -2.7108641E-02
      50.000 -2.2608715E-02 -2.0960310E-02 -2.0190565E-02 -1.8718468E-02
      50.200 -1.3094825E-02 -1.2143292E-02 -1.0959207E-02 -1.0162858E-02
      50.400 -3.3757405E-03 -3.1312857E-03 -1.5780563E-03 -1.4637811E-03
      50.600  6.4969540E-03  6.0281256E-03  7.9281928E-03  7.3560844E-03
      50.800  1.6466924E-02  1.5282899E-02  1.7534314E-02  1.6273541E-02
      51.000  2.6479260E-02  2.4582255E-02  2.7215120E-02  2.5265397E-02
      51.200  3.6485566E-02  3.3881403E-02  3.6945323E-02  3.4308346E-02
      51.400  4.6448517E-02  4.3145784E-02  4.6700177E-02  4.3379549E-02
      51.600  5.6343577E-02  5.2352670E-02  5.6455324E-02  5.2456502E-02
      51.800  6.6159072E-02  6.1491264E-02  6.6187345E-02  6.1517542E-02
      52.000  7.5893542E-02  7.0560241E-02  7.5873772E-02  7.0541861E-02
      52.200  8.5551388E-02  7.9563724E-02  8.5493025E-02  7.9509446E-02
      52.400  9.5138176E-02  8.8506914E-02  9.5024747E-02  8.8401391E-02
      52.600  1.0465535E-01  9.7391179E-02  1.0444931E-01  9.7199440E-02
      52.800  1.1409676E-01  1.0621082E-01  1.1374797E-01  1.0588614E-01
      53.000  1.2344620E-01  1.1495076E-01  1.2290221E-01  1.1444421E-01
      53.200  1.3267766E-01  1.2358677E-01  1.3189367E-01  1.2285649E-01
      53.400  1.4175708E-01  1.3208704E-01  1.4070360E-01  1.3110543E-01
      53.600  1.5064550E-01  1.4041523E-01  1.4931231E-01  1.3917258E-01
      53.800  1.5930344E-01  1.4853438E-01  1.5769917E-01  1.4703856E-01
      54.000  1.6769432E-01  1.5641023E-01  1.6584202E-01  1.5468256E-01
      54.200  1.7578760E-01  1.6401406E-01  1.7371738E-01  1.6208250E-01
      54.400  1.8355986E-01  1.7132380E-01  1.8130049E-01  1.6921505E-01
      54.600  1.9099418E-01  1.7832339E-01  1.8856550E-01  1.7605583E-01
      54.800  1.9807828E-01  1.8500105E-01  1.9548623E-01  1.8258013E-01
      55.000  2.0480103E-01  1.9134607E-01  2.0203665E-01  1.8876331E-01
      55.200  2.1114927E-01  1.9734584E-01  2.0819192E-01  1.9458183E-01
      55.400  2.1710470E-01  2.0298291E-01  2.1392903E-01  2.0001380E-01
      55.600  2.2264263E-01  2.0823379E-01  2.1922788E-01  2.0504003E-01
      55.800  2.2773224E-01  2.1306926E-01  2.2407194E-01  2.0964464E-01
      56.000  2.3233881E-01  2.1745639E-01  2.2844879E-01  2.1381554E-01
      56.200  2.3642798E-01  2.2136252E-01  2.3235060E-01  2.1754496E-01
      56.400  2.3997048E-01  2.2475972E-01  2.3577408E-01  2.2082931E-01
      56.600  2.4294737E-01  2.2762968E-01  2.3872039E-01  2.2366920E-01
      56.800  2.4535399E-01  2.2996746E-01  2.4119453E-01  2.2606884E-01
      57.000  2.4720225E-01  2.3178364E-01  2.4320476E-01  2.2803548E-01
      57.200  2.4852044E-01  2.3310416E-01  2.4476167E-01  2.2957855E-01
      57.400  2.4935031E-01  2.3396765E-01  2.4587718E-01  2.3070878E-01
      57.600  2.4974208E-01  2.3442072E-01  2.4656374E-01  2.3143736E-01
      57.800  2.4974769E-01  2.3451168E-01  2.4683340E-01  2.3177517E-01
      58.000  2.4941371E-01  2.3428384E-01  2.4669725E-01  2.3173217E-01
      58.200  2.4877490E-01  2.3376952E-01  2.4616503E-01  2.3131707E-01
      58.400  2.4784968E-01  2.3298567E-01  2.4524501E-01  2.3053721E-01
      58.600  2.4663815E-01  2.3193210E-01  2.4394417E-01  2.2939875E-01
      58.800  2.4512338E-01  2.3059252E-01  2.4226865E-01  2.2790702E-01
      59.000  2.4327535E-01  2.2893839E-01  2.4022426E-01  2.2606711E-01
      59.200  2.4105753E-01  2.2693492E-01  2.3781724E-01  2.2388447E-01
      59.400  2.3843438E-01  2.2454825E-01  2.3505489E-01  2.2136557E-01
      59.600  2.3537918E-01  2.2175275E-01  2.3194617E-01  2.1851848E-01
      59.800  2.3188022E-01  2.1853694E-01  2.2850209E-01  2.1535320E-01
      60.000  2.2794494E-01  2.1490733E-01  2.2473590E-01  2.1188183E-01
      60.200  2.2360085E-01  2.1088940E-01  2.2066303E-01  2.0811860E-01
      60.400  2.1889321E-01  2.0652542E-01  2.1630069E-01  2.0407939E-01
      60.600  2.1388005E-01  2.0186977E-01  2.1166742E-01  1.9978139E-01
      60.800  2.0862489E-01  1.9698209E-01  2.0678224E-01  1.9524228E-01
      61.000  2.0318901E-01  1.9192000E-01  2.0166410E-01  1.9047966E-01
      61.200  1.9762379E-01  1.8673185E-01  1.9633093E-01  1.8551025E-01
      61.400  1.9196499E-01  1.8145131E-01  1.9079918E-01  1.8034936E-01
      61.600  1.8622964E-01  1.7609438E-01  1.8508345E-01  1.7501057E-01
      61.800  1.8041569E-01  1.7065904E-01  1.7919615E-01  1.6950545E-01
      62.000  1.7450509E-01  1.6512812E-01  1.7314784E-01  1.6384379E-01
      62.200  1.6846892E-01  1.5947415E-01  1.6694731E-01  1.5803378E-01
      62.400  1.6227432E-01  1.5366588E-01  1.6060227E-01  1.5208253E-01
      62.600  1.5589182E-01  1.4767525E-01  1.5411998E-01  1.4599680E-01
      62.800  1.4930157E-01  1.4148325E-01  1.4750778E-01  1.3978340E-01
      63.000  1.4249816E-01  1.3508456E-01  1.4077386E-01  1.3344997E-01
      63.200  1.3549248E-01  1.2848930E-01  1.3392745E-01  1.2700516E-01
      63.400  1.2831132E-01  1.2172269E-01  1.2697929E-01  1.2045905E-01
      63.600  1.2099397E-01  1.1482184E-01  1.1994142E-01  1.1382298E-01
      63.800  1.1358721E-01  1.0783106E-01  1.1282691E-01  1.0710929E-01
