 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      29.800 -2.2870723E-01 -2.1231889E-01 -2.2377848E-01 -2.0774332E-01
      30.000 -2.2195833E-01 -2.0597342E-01 -2.1710726E-01 -2.0147171E-01
      30.200 -2.1465450E-01 -1.9911893E-01 -2.1016421E-01 -1.9495362E-01
      30.400 -2.0686558E-01 -1.9182071E-01 -2.0295001E-01 -1.8818992E-01
      30.600 -1.9869430E-01 -1.8417444E-01 -1.9547045E-01 -1.8118618E-01
      30.800 -1.9025929E-01 -1.7629032E-01 -1.8773577E-01 -1.7395208E-01
      31.000 -1.8167694E-01 -1.6827637E-01 -1.7976035E-01 -1.6650115E-01
      31.200 -1.7304415E-01 -1.6022233E-01 -1.7156173E-01 -1.5884976E-01
      31.400 -1.6442547E-01 -1.5218792E-01 -1.6315984E-01 -1.5101649E-01
      31.600 -1.5584643E-01 -1.4419663E-01 -1.5457631E-01 -1.4302145E-01
      31.800 -1.4729342E-01 -1.3623573E-01 -1.4583341E-01 -1.3488532E-01
      32.000 -1.3872103E-01 -1.2826309E-01 -1.3695380E-01 -1.2662909E-01
      32.200 -1.3006401E-01 -1.2021830E-01 -1.2795983E-01 -1.1827341E-01
      32.400 -1.2125290E-01 -1.1203715E-01 -1.1887343E-01 -1.0983853E-01
      32.600 -1.1222996E-01 -1.0366630E-01 -1.0971631E-01 -1.0134445E-01
      32.800 -1.0296238E-01 -9.5075529E-02 -1.0050975E-01 -9.2810763E-02
      33.000 -9.3451579E-02 -8.6266205E-02 -9.1275362E-02 -8.4257315E-02
      33.200 -8.3735708E-02 -7.7273611E-02 -8.2035063E-02 -7.5704209E-02
      33.400 -7.3886647E-02 -6.8164074E-02 -7.2811861E-02 -6.7172532E-02
      33.600 -6.4000604E-02 -5.9026275E-02 -6.3629929E-02 -5.8684411E-02
      33.800 -5.4185325E-02 -4.9959421E-02 -5.4515051E-02 -5.0263432E-02
      34.000 -4.4545736E-02 -4.1060005E-02 -4.5494988E-02 -4.1934979E-02
      34.200 -3.5170118E-02 -3.2409073E-02 -3.6599286E-02 -3.3726043E-02
      34.400 -2.6120364E-02 -2.4063274E-02 -2.7859652E-02 -2.5665586E-02
      34.600 -1.7426611E-02 -1.6049962E-02 -1.9309580E-02 -1.7784182E-02
      34.800 -9.0882667E-03 -8.3681714E-03 -1.0984343E-02 -1.0114015E-02
      35.000 -1.0806700E-03 -9.9479583E-04 -2.9209156E-03 -2.6888084E-03
      35.200  6.6341871E-03  6.1055229E-03  4.8425633E-03  4.4566698E-03
      35.400  1.4093864E-02  1.2967686E-02  1.2266755E-02  1.1286573E-02
      35.600  2.1322205E-02  1.9613939E-02  1.9311724E-02  1.7764531E-02
      35.800  2.8318014E-02  2.6043468E-02  2.5937188E-02  2.3853874E-02
      36.000  3.5048080E-02  3.2226018E-02  3.2102855E-02  2.9517941E-02
      36.200  4.1446090E-02  3.8100919E-02  3.7769129E-02  3.4720731E-02
      36.400  4.7416869E-02  4.3581016E-02  4.2897418E-02  3.9427172E-02
      36.600  5.2846213E-02  4.8561723E-02  4.7450930E-02  4.3603861E-02
      36.800  5.7613903E-02  5.2932990E-02  5.1395213E-02  4.7219545E-02
      37.000  6.1608106E-02  5.6592527E-02  5.4698758E-02  5.0245677E-02
      37.200  6.4738944E-02  5.9458254E-02  5.7333751E-02  5.2657096E-02
      37.400  6.6948521E-02  6.1477483E-02  5.9276509E-02  5.4432429E-02
      37.600  6.8216377E-02  6.2631893E-02  6.0508059E-02  5.5554611E-02
      37.800  6.8559113E-02  6.2937161E-02  6.1014435E-02  5.6011158E-02
      38.000  6.8024641E-02  6.2437653E-02  6.0786903E-02  5.5794364E-02
      38.200  6.6682028E-02  6.1197089E-02  5.9822056E-02  5.4901385E-02
      38.400  6.4608788E-02  5.9286871E-02  5.8121768E-02  5.3334196E-02
      38.600  6.1877732E-02  5.6774018E-02  5.5693031E-02  5.1099435E-02
      38.800  5.8545715E-02  5.3710846E-02  5.2547755E-02  4.8208214E-02
      39.000  5.4646155E-02  5.0128128E-02  4.8702612E-02  4.4675984E-02
      39.200  5.0186311E-02  4.6032598E-02  4.4178748E-02  4.0522256E-02
      39.400  4.5150108E-02  4.1409571E-02  3.9001816E-02  3.5770644E-02
      39.600  3.9505414E-02  3.6229608E-02  3.3201818E-02  3.0448709E-02
      39.800  3.3214910E-02  3.0458503E-02  2.6813228E-02  2.4588078E-02
      40.000  2.6248541E-02  2.4068692E-02  1.9875268E-02  1.8224697E-02
      40.200  1.8595045E-02  1.7049819E-02  1.2431870E-02  1.1398797E-02
      40.400  1.0271432E-02  9.4174247E-03  4.5321490E-03  4.1553284E-03
      40.600  1.3278367E-03  1.2173847E-03 -3.7697810E-03 -3.4562033E-03
      40.800 -8.1518421E-03 -7.4735045E-03 -1.2414512E-02 -1.1381466E-02
      41.000 -1.8054748E-02 -1.6551933E-02 -2.1337846E-02 -1.9561758E-02
      41.200 -2.8247434E-02 -2.5895747E-02 -3.0471136E-02 -2.7934318E-02
      41.400 -3.8586734E-02 -3.5373901E-02 -3.9741861E-02 -3.6432850E-02
      41.600 -4.8931868E-02 -4.4857555E-02 -4.9074933E-02 -4.4988708E-02
      41.800 -5.9154642E-02 -5.4229408E-02 -5.8393530E-02 -5.3531666E-02
      42.000 -6.9147692E-02 -6.3391245E-02 -6.7620803E-02 -6.1991468E-02
      42.200 -7.8828412E-02 -7.2267541E-02 -7.6681213E-02 -7.0299053E-02
      42.400 -8.8138771E-02 -8.0805276E-02 -8.5501873E-02 -7.8387778E-02
      42.600 -9.7041829E-02 -8.8970747E-02 -9.4014262E-02 -8.6194987E-02
      42.800 -1.0551478E-01 -9.6743190E-02 -1.0215510E-01 -9.3662800E-02
      43.000 -1.1354138E-01 -1.0410782E-01 -1.0986761E-01 -1.0073929E-01
      43.200 -1.2110414E-01 -1.1104873E-01 -1.1710209E-01 -1.0737897E-01
      43.400 -1.2817841E-01 -1.1754336E-01 -1.2381618E-01 -1.1354306E-01
      43.600 -1.3472947E-01 -1.2355994E-01 -1.2997511E-01 -1.1919973E-01
      43.800 -1.4071261E-01 -1.2905747E-01 -1.3555127E-01 -1.2432364E-01
      44.000 -1.4607668E-01 -1.3398904E-01 -1.4052389E-01 -1.2889574E-01
      44.200 -1.5076987E-01 -1.3830706E-01 -1.4487836E-01 -1.3290255E-01
      44.400 -1.5474662E-01 -1.4196965E-01 -1.4860541E-01 -1.3633550E-01
      44.600 -1.5797464E-01 -1.4494704E-01 -1.5170050E-01 -1.3919031E-01
      44.800 -1.6043993E-01 -1.4722624E-01 -1.5416302E-01 -1.4146629E-01
      45.000 -1.6214951E-01 -1.4881346E-01 -1.5599576E-01 -1.4316583E-01
      45.200 -1.6313074E-01 -1.4973358E-01 -1.5720439E-01 -1.4429394E-01
      45.400 -1.6342752E-01 -1.5002667E-01 -1.5779709E-01 -1.4485793E-01
      45.600 -1.6309405E-01 -1.4974220E-01 -1.5778444E-01 -1.4486727E-01
      45.800 -1.6218710E-01 -1.4893206E-01 -1.5717921E-01 -1.4433344E-01
      46.000 -1.6075822E-01 -1.4764331E-01 -1.5599638E-01 -1.4326995E-01
      46.200 -1.5884737E-01 -1.4591239E-01 -1.5425310E-01 -1.4169224E-01
      46.400 -1.5647895E-01 -1.4376146E-01 -1.5196866E-01 -1.3961774E-01
      46.600 -1.5366101E-01 -1.4119766E-01 -1.4916435E-01 -1.3706572E-01
      46.800 -1.5038787E-01 -1.3821546E-01 -1.4586332E-01 -1.3405713E-01
      47.000 -1.4664530E-01 -1.3480150E-01 -1.4209021E-01 -1.3061430E-01
      47.200 -1.4241772E-01 -1.3094113E-01 -1.3787079E-01 -1.2676060E-01
      47.400 -1.3769579E-01 -1.2662540E-01 -1.3323151E-01 -1.2252004E-01
      47.600 -1.3248287E-01 -1.2185705E-01 -1.2819885E-01 -1.1791663E-01
      47.800 -1.2679957E-01 -1.1665465E-01 -1.2279888E-01 -1.1297405E-01
      48.000 -1.2068478E-01 -1.1105361E-01 -1.1705654E-01 -1.0771492E-01
      48.200 -1.1419368E-01 -1.0510434E-01 -1.1099534E-01 -1.0216058E-01
      48.400 -1.0739219E-01 -9.8867190E-02 -1.0463677E-01 -9.6330502E-02
      48.600 -1.0034949E-01 -9.2405526E-02 -9.8000105E-02 -9.0242130E-02
      48.800 -9.3129435E-02 -8.5777911E-02 -9.1102347E-02 -8.3910838E-02
      49.000 -8.5782281E-02 -7.9030391E-02 -8.3958023E-02 -7.7349720E-02
      49.200 -7.8338690E-02 -7.2191022E-02 -7.6579593E-02 -7.0569972E-02
      49.400 -7.0806294E-02 -6.5266655E-02 -6.8977477E-02 -6.3580919E-02
      49.600 -6.3170207E-02 -5.8243385E-02 -6.1160528E-02 -5.6390447E-02
      49.800 -5.5397142E-02 -5.1090324E-02 -5.3136597E-02 -4.9005524E-02
      50.000 -4.7442119E-02 -4.3765762E-02 -4.4912740E-02 -4.1432388E-02
      50.200 -3.9257716E-02 -3.6225688E-02 -3.6496157E-02 -3.3677415E-02
      50.400 -3.0802637E-02 -2.8431694E-02 -2.7894001E-02 -2.5746941E-02
      50.600 -2.2050273E-02 -2.0358886E-02 -1.9114299E-02 -1.7648119E-02
      50.800 -1.2994385E-02 -1.2001152E-02 -1.0166341E-02 -9.3892707E-03
      51.000 -3.6511321E-03 -3.3730580E-03 -1.0606678E-03 -9.7988622E-04
      51.200  5.9418832E-03  5.4909979E-03  8.1903377E-03  7.5688340E-03
      51.400  1.5730651E-02  1.4541412E-02  1.7572666E-02  1.6244171E-02
      51.600  2.5651526E-02  2.3719611E-02  2.7070232E-02  2.5031468E-02
      51.800  3.5639932E-02  3.2966086E-02  3.6665186E-02  3.3914421E-02
      52.000  4.5638326E-02  4.2227762E-02  4.6337831E-02  4.2874993E-02
      52.200  5.5602509E-02  5.1463843E-02  5.6066584E-02  5.1893376E-02
      52.400  6.5505693E-02  6.0649593E-02  6.5828475E-02  6.0948447E-02
      52.600  7.5338487E-02  6.9776357E-02  7.5598965E-02  7.0017605E-02
      52.800  8.5106347E-02  7.8849215E-02  8.5352581E-02  7.9077345E-02
      53.000  9.4823484E-02  8.7881362E-02  9.5062805E-02  8.8103163E-02
      53.200  1.0450583E-01  9.6887611E-02  1.0470271E-01  9.7070136E-02
      53.400  1.1416323E-01  1.0587712E-01  1.1424513E-01  1.0595308E-01
      53.600  1.2379263E-01  1.1484712E-01  1.2366281E-01  1.1472668E-01
      53.800  1.3337416E-01  1.2377922E-01  1.3292901E-01  1.2336609E-01
      54.000  1.4286952E-01  1.3263785E-01  1.4201743E-01  1.3184679E-01
      54.200  1.5222434E-01  1.4137254E-01  1.5090264E-01  1.4014506E-01
      54.400  1.6137321E-01  1.4992240E-01  1.5956018E-01  1.4823802E-01
      54.600  1.7024665E-01  1.5822273E-01  1.6796640E-01  1.5610353E-01
      54.800  1.7877947E-01  1.6621267E-01  1.7609885E-01  1.6372048E-01
      55.000  1.8691786E-01  1.7384191E-01  1.8393582E-01  1.7106847E-01
      55.200  1.9462536E-01  1.8107613E-01  1.9145661E-01  1.7812798E-01
      55.400  2.0188519E-01  1.8789931E-01  1.9864112E-01  1.8487998E-01
      55.600  2.0869992E-01  1.9431342E-01  2.0546994E-01  1.9130610E-01
      55.800  2.1508745E-01  2.0033470E-01  2.1192422E-01  1.9738843E-01
      56.000  2.2107448E-01  2.0598759E-01  2.1798553E-01  2.0310943E-01
      56.200  2.2668874E-01  2.1129752E-01  2.2363615E-01  2.0845219E-01
      56.400  2.3195078E-01  2.1628329E-01  2.2885899E-01  2.1340034E-01
      56.600  2.3686754E-01  2.2095100E-01  2.3363805E-01  2.1793852E-01
      56.800  2.4142803E-01  2.2529004E-01  2.3795852E-01  2.2205244E-01
      57.000  2.4560274E-01  2.2927247E-01  2.4180736E-01  2.2572944E-01
      57.200  2.4934621E-01  2.3285542E-01  2.4517363E-01  2.2895879E-01
      57.400  2.5260284E-01  2.3598648E-01  2.4804882E-01  2.3173203E-01
      57.600  2.5531499E-01  2.3861127E-01  2.5042737E-01  2.3404341E-01
      57.800  2.5743172E-01  2.4068155E-01  2.5230675E-01  2.3589004E-01
      58.000  2.5891710E-01  2.4216306E-01  2.5368777E-01  2.3727211E-01
      58.200  2.5975638E-01  2.4304131E-01  2.5457448E-01  2.3819286E-01
      58.400  2.5995923E-01  2.4332464E-01  2.5497406E-01  2.3865846E-01
      58.600  2.5955927E-01  2.4304381E-01  2.5489655E-01  2.3867778E-01
      58.800  2.5861007E-01  2.4224833E-01  2.5435444E-01  2.3826195E-01
      59.000  2.5717821E-01  2.4100000E-01  2.5336215E-01  2.3742398E-01
      59.200  2.5533457E-01  2.3936467E-01  2.5193550E-01  2.3617820E-01
      59.400  2.5314502E-01  2.3740370E-01  2.5009116E-01  2.3453974E-01
      59.600  2.5066243E-01  2.3516627E-01  2.4784616E-01  2.3252410E-01
      59.800  2.4792076E-01  2.3268391E-01  2.4521740E-01  2.3014670E-01
      60.000  2.4493251E-01  2.2996807E-01  2.4222138E-01  2.2742258E-01
      60.200  2.4168978E-01  2.2701103E-01  2.3887400E-01  2.2436626E-01
      60.400  2.3816849E-01  2.2378987E-01  2.3519044E-01  2.2099162E-01
      60.600  2.3433538E-01  2.2027303E-01  2.3118532E-01  2.1731200E-01
      60.800  2.3015614E-01  2.1642787E-01  2.2687268E-01  2.1334026E-01
      61.000  2.2560376E-01  2.1222860E-01  2.2226641E-01  2.0908910E-01
      61.200  2.2066524E-01  2.0766256E-01  2.1738026E-01  2.0457115E-01
      61.400  2.1534594E-01  2.0273439E-01  2.1222821E-01  1.9979925E-01
      61.600  2.0967087E-01  1.9746722E-01  2.0682466E-01  1.9478667E-01
      61.800  2.0368241E-01  1.9190058E-01  2.0118444E-01  1.8954711E-01
      62.000  1.9743554E-01  1.8608595E-01  1.9532299E-01  1.8409485E-01
      62.200  1.9099074E-01  1.8008009E-01  1.8925614E-01  1.7844458E-01
      62.400  1.8440639E-01  1.7393784E-01  1.8300002E-01  1.7261131E-01
      62.600  1.7773169E-01  1.6770549E-01  1.7657094E-01  1.6661022E-01
      62.800  1.7100106E-01  1.6141543E-01  1.6998493E-01  1.6045626E-01
      63.000  1.6423152E-01  1.5508368E-01  1.6325768E-01  1.5416409E-01
      63.200  1.5742254E-01  1.4870973E-01  1.5640403E-01  1.4774759E-01
      63.400  1.5055934E-01  1.4227955E-01  1.4943800E-01  1.4121987E-01
      63.600  1.4361783E-01  1.3577034E-01  1.4237234E-01  1.3459290E-01
