C8mimBF4		C2OHBF4		C6mimBF4		C4mimBF4		C2mimBF4		C3mimBF4	
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
2.968553459	0.057292716	14.01136913	0.047263667	15.60911547	0.044315573	16.05345912	0.042673887	17.45739598	0.03420573	19.95328374	0.020281348
2.992591921	0.05571801	14.2524492	0.048402485	15.72729197	0.042978195	16.18108974	0.04143158	17.61338897	0.032962418		
3.030408402	0.054548546	14.56443517	0.049414843	15.85492259	0.041810059	16.32290155	0.040158665	17.78356313	0.031696353		
3.077679003	0.053152161	14.87642114	0.04975133	15.96837204	0.040644606	16.45053217	0.038888434	17.9537373	0.03044774		
3.091860184	0.051843189	15.18840711	0.049311992	16.2094521	0.038358138	16.5781628	0.03763391	18.12391147	0.029260208		
3.134403725	0.050097785	15.47203072	0.048336004	16.33708273	0.03710885	16.7199746	0.036408116	18.29408563	0.028116307		
3.143857846	0.048736479	15.69892961	0.047012748	16.45053217	0.035995753	16.84760522	0.035208566	18.49262216	0.026954823		
3.191128447	0.047199387	15.88328495	0.045789	16.59234398	0.034703641	16.97523585	0.034019487	18.71952104	0.025821566		
3.219490808	0.045586029	16.02712264	0.044550481	16.74833696	0.03342368	17.11704765	0.032814636	18.86133285	0.025094465		
3.266761409	0.043846835	16.1275164	0.043498736	16.89014877	0.032124587	17.25885946	0.031620255				
3.304577891	0.041643211	16.2693282	0.042299701	17.04614175	0.030827174	17.40067126	0.030425875				
3.347121432	0.039883844	16.40798863	0.041048326	17.20213474	0.029620511	17.55666425	0.029271569				
3.380210853	0.038487137	16.54664906	0.039849306	17.34394654	0.028509901	17.72683841	0.02810149				
3.427481455	0.036989918	16.67743106	0.038554918	17.49993953	0.027352104	17.91119376	0.026935084				
3.474752056	0.035366655	16.81924286	0.037292475	17.68429487	0.026180713	18.10973029	0.025707531				
3.493660297	0.03370513	16.96105467	0.036092859	17.8828314	0.024975598	18.30826681	0.024577211				
3.540930898	0.032382044	17.10286647	0.034856594	18.08136792	0.023890154	18.5351657	0.023458393				
3.5882015	0.031072919	17.26358652	0.033749386	18.29408563	0.022786881	18.79042695	0.022293736				
3.616563861	0.029839507	17.4432148	0.032509455	18.54934688	0.021614225	19.07405056	0.021192939				
3.673288582	0.028442496	17.61136309	0.031207248	18.83297049	0.020482014	19.38603653	0.020120567				
3.720559184	0.026953615	17.76938195	0.030070467	19.13077528	0.019398285	19.6980225	0.019205264				
3.777283906	0.025801515	17.99628084	0.028797075	19.44276125	0.018440145	19.93910256	0.018606015				
3.843462748	0.024553385	18.19481737	0.027659275	19.75474722	0.017605757						
3.91436865	0.022905081	18.42171626	0.026483946	19.96746493	0.017131183						
4.013636913	0.02152466	18.66279632	0.025376801								
4.098723996	0.02030262	18.93223875	0.024263575								
4.197992259	0.018958349	19.24422472	0.023143607								
4.311441703	0.017701273										
4.439072327	0.016527901										
4.580884132	0.015427762										
4.765239478	0.014296012										
5.020500726	0.013158696										
5.318305515	0.012170637										
5.630291485	0.011540913										
5.942277455	0.011068258										
6.254263425	0.010809788										
6.566249395	0.010651271										
6.878235365	0.010602225										
7.190221335	0.010729287										
7.457637881	0.011142135										
8.438165215	0.012760624										
8.778513546	0.013687177										
9.090499516	0.014499629										
9.402485486	0.015483429										
9.700290276	0.016671008										
9.969732704	0.017768074										
10.21081277	0.018792991										
