 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      38.000  2.4130671E-07  1.3349970E-04  1.5685143E-07  8.6775948E-05
      38.200  2.3574823E-07  1.3042455E-04  1.5270752E-07  8.4483388E-05
      38.400  2.1810825E-07  1.2066546E-04  1.4706559E-07  8.1362065E-05
      38.600  1.9067230E-07  1.0548689E-04  1.3997244E-07  7.7437873E-05
      38.800  1.5697072E-07  8.6841945E-05  1.3148483E-07  7.2742217E-05
      39.000  1.2118908E-07  6.7046230E-05  1.2167091E-07  6.7312796E-05
      39.200  8.7493408E-08  4.8404554E-05  1.1061061E-07  6.1193838E-05
      39.400  5.9384077E-08  3.2853444E-05  9.8396183E-08  5.4436368E-05
      39.600  3.9174901E-08  2.1672988E-05  8.5131190E-08  4.7097688E-05
      39.800  2.7680217E-08  1.5313709E-05  7.0929485E-08  3.9240786E-05
      40.000  2.4150450E-08  1.3360912E-05  5.5913653E-08  3.0933478E-05
      40.200  2.6458772E-08  1.4637961E-05  4.0212335E-08  2.2246934E-05
      40.400  3.1502017E-08  1.7428068E-05  2.3958428E-08  1.3254679E-05
      40.600  3.5744767E-08  1.9775313E-05  7.2860391E-09  4.0309033E-06
      40.800  3.5815678E-08  1.9814543E-05 -9.6711437E-09 -5.3504304E-06
      41.000  2.9059957E-08  1.6077031E-05 -2.6782394E-08 -1.4817000E-05
      41.200  1.3960842E-08  7.7236483E-06 -4.3921262E-08 -2.4298849E-05
      41.400 -9.6321936E-09 -5.3288818E-06 -6.0966423E-08 -3.3728855E-05
      41.600 -4.0500596E-08 -2.2406411E-05 -7.7802949E-08 -4.3043438E-05
      41.800 -7.6270761E-08 -4.2195775E-05 -9.4321924E-08 -5.2182339E-05
      42.000 -1.1380789E-07 -6.2962689E-05 -1.1042107E-07 -6.1088973E-05
      42.200 -1.4971887E-07 -8.2829958E-05 -1.2600435E-07 -6.9710215E-05
      42.400 -1.8088236E-07 -1.0007074E-04 -1.4098166E-07 -7.7996213E-05
      42.600 -2.0492306E-07 -1.1337093E-04 -1.5526932E-07 -8.5900669E-05
